,Latitude,Diameter,CraterID,Depth,Volume
284786,-44.223,34.77,24-000313,0.45,213.53130596250006
284787,-33.2,34.65,24-000314,1.06,499.51899112500007
284788,-54.131,34.64,24-000315,1.44,678.20020992
284790,-48.593999999999994,34.49,24-000317,0.89,415.54308193250006
284791,-30.156,34.45,24-000318,0.38,177.01159287500005
284792,-55.184,34.4,24-000319,0.67,311.194096
284793,-30.493000000000002,34.33,24-000320,1.8,832.6447978499999
284794,-56.245,34.24,24-000321,0.56,257.68859648
284795,-33.605,34.24,24-000322,0.54,248.48543232000003
284796,-63.746,34.22,24-000323,1.1,505.58287670000004
284797,-56.861000000000004,34.2,24-000324,0.48,220.36017600000002
284798,-37.319,34.16,24-000325,1.07,490.07117936
284799,-35.264,34.1,24-000326,0.78,355.9942815000001
